2026-03-04 10:12:51.336 INFO  [27072] [HeartbeatManager::CServerHeartbeatManager::Connect@236] [Init] End.

2026-03-04 10:12:51.336 INFO  [27072] [HeartbeatManager::CServerHeartbeatManager::Init@107] [Init] End.

2026-03-04 10:12:51.336 INFO  [27072] [CallbackManager::CProxyResCallbackManager::Init@15] [Init] Start.

2026-03-04 10:12:51.336 INFO  [27072] [CallbackManager::ICallbackManager::Init@14] [Init] Start.

2026-03-04 10:12:51.336 INFO  [27072] [CallbackRouting::CCallbackRoutingDll::Init@10] [Init] Start.

2026-03-04 10:12:51.336 INFO  [27072] [CallbackRouting::CCallbackRoutingDll::Init@19] [Init] End.

2026-03-04 10:12:51.336 INFO  [27072] [CallbackManager::ICallbackManager::Init@90] [Init] End.

2026-03-04 10:12:51.336 INFO  [27072] [ModuResManager::IModuResManager::Init@10] [Init] Start.

2026-03-04 10:12:51.336 INFO  [27072] [ModuResManager::IModuResManager::Init@32] [Init] End.

2026-03-04 10:12:51.336 INFO  [27072] [CallbackManager::CProxyResCallbackManager::Init@117] [Init] End.

2026-03-04 10:12:51.336 INFO  [27072] [CallbackManager::CProxyReportCallbackManager::Init@11] [Init] Start.

2026-03-04 10:12:51.336 INFO  [27072] [CallbackManager::ICallbackManager::Init@14] [Init] Start.

2026-03-04 10:12:51.336 INFO  [27072] [CallbackRouting::CCallbackRoutingDll::Init@10] [Init] Start.

2026-03-04 10:12:51.336 INFO  [27072] [CallbackRouting::CCallbackRoutingDll::Init@19] [Init] End.

2026-03-04 10:12:51.336 INFO  [27072] [CallbackManager::ICallbackManager::Init@90] [Init] End.

2026-03-04 10:12:51.336 INFO  [27072] [CallbackManager::CProxyReportCallbackManager::Init@18] [Init] End.

2026-03-04 10:12:51.336 INFO  [27072] [CallbackManager::CGScriptMsgCallbackManager::Init@13] [Init] Start.

2026-03-04 10:12:51.336 INFO  [27072] [CommunicationDll::CCommunicationDllScript::SetReportCallback@237] Start.

2026-03-04 10:12:51.336 INFO  [27072] [CommunicationDll::CCommunicationDllScript::SetReportCallback@248] End.

2026-03-04 10:12:51.336 INFO  [27072] [CallbackManager::CGScriptMsgCallbackManager::Init@29] [Init] End.

2026-03-04 10:12:51.336 INFO  [27072] [CommandManager::CServerCommandManager::GetDeviceInfo@11009] start

2026-03-04 10:12:51.336 INFO  [27072] [DeviceManager::CDeviceManager::ParseNetDeviceInfo@120] Recv msg[OK*50	]

2026-03-04 10:12:51.336 ERROR [27072] [DeviceManager::CDeviceManager::ParseNetDeviceInfo@140] Device info is err.

2026-03-04 10:12:51.336 ERROR [27072] [CommandManager::CServerCommandManager::GetDeviceInfo@11019] Parse data fail, recv[OK*50	]

2026-03-04 10:12:51.336 WARN  [27072] [ClientManager::CClientManagerRefactor::Init@199] [Init] GetDeviceInfo fail. nErr = [e0000018]

2026-03-04 10:12:51.336 INFO  [27072] [CommandManager::CServerCommandManager::MakeServerReportDongleInfo@4070] start.

2026-03-04 10:12:51.338 INFO  [27072] [CommandManager::CServerCommandManager::MakeServerReportDongleInfo@4103] end

2026-03-04 10:12:51.338 INFO  [27072] [CommandManager::CServerCommandManager::SetReportModuleResult_V2@6306] start

2026-03-04 10:12:51.338 INFO  [27072] [CommandManager::CServerCommandManager::SetReportModuleResult_V2@6315] end

2026-03-04 10:12:51.338 INFO  [27072] [CommandManager::CProxyCommandManager::GetProcedureReentrant@2168] start.

2026-03-04 10:12:51.338 INFO  [27072] [CommandManager::CProxyCommandManager::GetProcedureReentrant@2191] end.

2026-03-04 10:12:51.338 INFO  [27072] [CommandManager::CProxyCommandManager::GetProcedureCallbackMode@6189] Start.

2026-03-04 10:12:51.338 INFO  [27072] [CommandManager::CProxyCommandManager::GetProcedureCallbackMode@6214] End.

2026-03-04 10:12:51.338 INFO  [27072] [ClientManager::CClientManagerRefactor::Init@281] [Init] End.

2026-03-04 10:12:51.338 INFO  [27072] [ClientManager::CClientManagerRefactor::StartCallback@499] [Init] Start.

2026-03-04 10:12:51.338 INFO  [27072] [CallbackManager::ICallbackManager::Start@141] [Init] Start.

2026-03-04 10:12:51.338 INFO  [27072] [CallbackRouting::CCallbackRoutingDll::Start@70] [Init] Start.

2026-03-04 10:12:51.338 INFO  [27072] [CommunicationDll::CCommunicationDllServer::SetReportDataCallback@321] Start.

2026-03-04 10:12:51.338 INFO  [27072] [CommunicationDll::CCommunicationDllServer::SetReportDataCallback@329] End.

2026-03-04 10:12:51.338 INFO  [27072] [CallbackRouting::CCallbackRoutingDll::Start@106] [Init] End.

2026-03-04 10:12:51.338 INFO  [27072] [CallbackManager::ICallbackManager::Start@149] [Init] End.

2026-03-04 10:12:51.338 INFO  [27072] [CallbackManager::ICallbackManager::Start@141] [Init] Start.

2026-03-04 10:12:51.338 INFO  [27072] [CallbackRouting::CCallbackRoutingDll::Start@70] [Init] Start.

2026-03-04 10:12:51.338 INFO  [27072] [CommunicationDll::CCommunicationDllServer::SetRunResCallback@306] Start.

2026-03-04 10:12:51.338 INFO  [27072] [CommunicationDll::CCommunicationDllServer::SetRunResCallback@314] End.

2026-03-04 10:12:51.338 INFO  [27072] [CallbackRouting::CCallbackRoutingDll::Start@106] [Init] End.

2026-03-04 10:12:51.338 INFO  [27072] [CallbackManager::ICallbackManager::Start@149] [Init] End.

2026-03-04 10:12:51.338 INFO  [27072] [HeartbeatManager::CServerHeartbeatManager::Start@638] [Init] Start.

2026-03-04 10:12:51.347 INFO  [18292] [HeartbeatManager::CServerHeartbeatManager::Process@445] Start.

2026-03-04 10:12:51.347 INFO  [27072] [HeartbeatManager::CServerHeartbeatManager::Start@667] [Init] End.

2026-03-04 10:12:51.347 INFO  [27072] [CallbackManager::ICallbackManager::Start@141] [Init] Start.

2026-03-04 10:12:51.347 INFO  [27072] [CallbackRouting::CCallbackRoutingDll::Start@70] [Init] Start.

2026-03-04 10:12:51.347 INFO  [27072] [CommunicationDll::CCommunicationDllServer::SetMsgCallback@291] Start.

2026-03-04 10:12:51.347 INFO  [27072] [CommunicationDll::CCommunicationDllServer::SetMsgCallback@299] End.

2026-03-04 10:12:51.347 INFO  [27072] [CallbackRouting::CCallbackRoutingDll::Start@106] [Init] End.

2026-03-04 10:12:51.347 INFO  [27072] [CallbackManager::ICallbackManager::Start@149] [Init] End.

2026-03-04 10:12:51.347 INFO  [27072] [ClientManager::CClientManagerRefactor::StartCallback@527] [Init] End.

2026-03-04 10:12:51.363 INFO  [27072] [ClientManager::CClientManagerRefactor::RegisterPlatformInfoCallbackCs@624] Start.

2026-03-04 10:12:51.365 INFO  [27072] [CallbackManager::ICallbackManager::RegisterPlatformInfoCallbackCs@172] Start.

2026-03-04 10:12:51.365 INFO  [27072] [CallbackManager::ICallbackManager::RegisterPlatformInfoCallbackCs@186] End.

2026-03-04 10:12:51.365 INFO  [27072] [HeartbeatManager::CServerHeartbeatManager::RegisterPlatformInfoCallbackCs@691] Start.

2026-03-04 10:12:51.365 INFO  [27072] [HeartbeatManager::CServerHeartbeatManager::RegisterPlatformInfoCallbackCs@703] End.

2026-03-04 10:12:51.365 INFO  [27072] [CallbackManager::ICallbackManager::RegisterPlatformInfoCallbackCs@172] Start.

2026-03-04 10:12:51.365 INFO  [27072] [CallbackManager::ICallbackManager::RegisterPlatformInfoCallbackCs@186] End.

2026-03-04 10:12:51.365 INFO  [27072] [CallbackManager::ICallbackManager::RegisterPlatformInfoCallbackCs@172] Start.

2026-03-04 10:12:51.365 INFO  [27072] [CallbackManager::ICallbackManager::RegisterPlatformInfoCallbackCs@186] End.

2026-03-04 10:12:51.365 INFO  [27072] [ClientManager::CClientManagerRefactor::RegisterPlatformInfoCallbackCs@673] End.

2026-03-04 10:12:51.388 INFO  [26464] [ClientManager::CClientManagerRefactor::CheckCurrentServerApp@6652] vServerApp is found

2026-03-04 10:12:51.453 INFO  [27072] [HandleManager::CHandleManager::RegisterHandleManagerCallback@226] Start.

2026-03-04 10:12:51.453 INFO  [27072] [HandleManager::CHandleManager::RegisterHandleManagerCallback@238] End.

2026-03-04 10:12:51.465 INFO  [27072] [CommandManager::CServerCommandManager::GetAllProcessList@3678] start

2026-03-04 10:12:51.465 INFO  [27072] [CommandManager::CServerCommandManager::GetAllProcessList@3714] end

2026-03-04 10:12:51.467 INFO  [27072] [CommandManager::CServerCommandManager::GetAllGlobalModule@9908] start.

2026-03-04 10:12:51.469 WARN  [27072] [CommandManager::CServerCommandManager::GetAllGlobalModule@9930] SDK: Module list is null.

2026-03-04 10:12:51.469 INFO  [27072] [CommandManager::CServerCommandManager::GetAllGlobalModule@9960] end.

2026-03-04 10:12:51.717 INFO  [26464] [ClientManager::CClientManagerRefactor::CheckCurrentServerApp@6652] vServerApp is found

2026-03-04 10:12:52.049 INFO  [26464] [ClientManager::CClientManagerRefactor::CheckCurrentServerApp@6652] vServerApp is found

2026-03-04 10:12:52.376 INFO  [26464] [ClientManager::CClientManagerRefactor::CheckCurrentServerApp@6652] vServerApp is found

2026-03-04 10:12:52.698 INFO  [26464] [ClientManager::CClientManagerRefactor::CheckCurrentServerApp@6652] vServerApp is found

2026-03-04 10:12:53.033 INFO  [26464] [ClientManager::CClientManagerRefactor::CheckCurrentServerApp@6652] vServerApp is found

2026-03-04 10:12:53.350 INFO  [26464] [ClientManager::CClientManagerRefactor::CheckCurrentServerApp@6652] vServerApp is found

2026-03-04 10:12:53.664 INFO  [26464] [ClientManager::CClientManagerRefactor::CheckCurrentServerApp@6652] vServerApp is found

2026-03-04 10:12:53.664 INFO  [26464] [ClientManager::CClientManagerRefactor::StartAndRegisterServerApp@6616] Start App end.

2026-03-04 10:12:53.664 INFO  [26464] [DoStartServerApp@6518] End

