2026-03-04 10:12:51.583 INFO  [9] [VM.GlobalScript.LogHelper+<>c::<.cctor>b__8_0@0] ProcessID-3908-,2026-03-04 10:12:50.578 [1] [GlobalScript::Init]  ====================================================V4.4.0 GlobalScript Start Print Log====================================================

2026-03-04 10:13:40.714 INFO  [9] [VM.GlobalScript.LogHelper+<>c::<.cctor>b__8_0@0] ProcessID-3908-,2026-03-04 10:13:40.205 [6] [UserGlobalScriptManger::initSourceAndStartScript] InitSourceEndStartScript already init

2026-03-04 10:13:40.714 INFO  [9] [VM.GlobalScript.LogHelper+<>c::<.cctor>b__8_0@0] ProcessID-3908-,2026-03-04 10:13:40.205 [6] [UserGlobalScriptManger::<StartOnce>b__64_0] GlobalScript execute once start

2026-03-04 10:13:40.714 INFO  [9] [VM.GlobalScript.LogHelper+<>c::<.cctor>b__8_0@0] ProcessID-3908-,2026-03-04 10:13:40.213 [6] [UserGlobalScriptManger::<StartOnce>b__64_0] GlobalScript execute once end

2026-03-04 10:14:13.747 INFO  [9] [VM.GlobalScript.LogHelper+<>c::<.cctor>b__8_0@0] ProcessID-3908-,2026-03-04 10:14:13.463 [25] [GlobalManager::HandleCmd] Receive:SaveSolution

2026-03-04 10:14:13.747 INFO  [9] [VM.GlobalScript.LogHelper+<>c::<.cctor>b__8_0@0] ProcessID-3908-,2026-03-04 10:14:13.465 [25] [UserGlobalScriptManger::SaveSolutionByMap] Save IsDefaultContent:[True]

2026-03-04 10:14:13.747 INFO  [9] [VM.GlobalScript.LogHelper+<>c::<.cctor>b__8_0@0] ProcessID-3908-,2026-03-04 10:14:13.466 [25] [UserGlobalScriptManger::SaveSolutionByMap] save solution byte len:4497

2026-03-04 10:14:13.747 INFO  [9] [VM.GlobalScript.LogHelper+<>c::<.cctor>b__8_0@0] ProcessID-3908-,2026-03-04 10:14:13.466 [25] [GlobalManager::HandleCmd] Receive end:SaveSolution

2026-03-04 10:14:13.747 INFO  [9] [VM.GlobalScript.LogHelper+<>c::<.cctor>b__8_0@0] ProcessID-3908-,2026-03-04 10:14:13.466 [25] [GlobalManager::HandleCmd] Receive:SaveSolution

2026-03-04 10:14:13.748 INFO  [9] [VM.GlobalScript.LogHelper+<>c::<.cctor>b__8_0@0] ProcessID-3908-,2026-03-04 10:14:13.466 [25] [UserGlobalScriptManger::SaveSolutionByMap] Save IsDefaultContent:[True]

2026-03-04 10:14:13.748 INFO  [9] [VM.GlobalScript.LogHelper+<>c::<.cctor>b__8_0@0] ProcessID-3908-,2026-03-04 10:14:13.466 [25] [UserGlobalScriptManger::SaveSolutionByMap] save solution byte len:4497

2026-03-04 10:14:13.748 INFO  [9] [VM.GlobalScript.LogHelper+<>c::<.cctor>b__8_0@0] ProcessID-3908-,2026-03-04 10:14:13.468 [25] [GlobalManager::HandleCmd] Receive end:SaveSolution

2026-03-04 10:49:25.009 INFO  [9] [VM.GlobalScript.LogHelper+<>c::<.cctor>b__8_0@0] ProcessID-23388-,2026-03-04 10:49:23.983 [1] [GlobalScript::Init]  ====================================================V4.4.0 GlobalScript Start Print Log====================================================

2026-03-04 10:49:29.049 INFO  [9] [VM.GlobalScript.LogHelper+<>c::<.cctor>b__8_0@0] ProcessID-23388-,2026-03-04 10:49:29.011 [6] [GlobalManager::objLoadDefaultScriptTime_Elapsed] Load default globalScript begin

2026-03-04 10:49:29.049 INFO  [9] [VM.GlobalScript.LogHelper+<>c::<.cctor>b__8_0@0] ProcessID-23388-,2026-03-04 10:49:29.017 [6] [UserGlobalScriptManger::compileGlobalScript] Compile begin

2026-03-04 10:49:30.052 INFO  [9] [VM.GlobalScript.LogHelper+<>c::<.cctor>b__8_0@0] ProcessID-23388-,2026-03-04 10:49:29.238 [6] [UserGlobalScriptSupport::CompileCode] 2026-03-04 10:49:29:238 : Compile complete -- 0 Errors, 0 Warnings 


2026-03-04 10:49:30.052 INFO  [9] [VM.GlobalScript.LogHelper+<>c::<.cctor>b__8_0@0] ProcessID-23388-,2026-03-04 10:49:29.341 [6] [UserGlobalScriptManger::updateBackFile] Update BackFile end

2026-03-04 10:49:30.052 INFO  [9] [VM.GlobalScript.LogHelper+<>c::<.cctor>b__8_0@0] ProcessID-23388-,2026-03-04 10:49:29.341 [6] [UserGlobalScriptManger::compileGlobalScript] Compile end

2026-03-04 10:49:30.052 INFO  [9] [VM.GlobalScript.LogHelper+<>c::<.cctor>b__8_0@0] ProcessID-23388-,2026-03-04 10:49:29.341 [6] [GlobalManager::objLoadDefaultScriptTime_Elapsed] Load default globalScript end

2026-03-04 10:49:54.157 INFO  [9] [VM.GlobalScript.LogHelper+<>c::<.cctor>b__8_0@0] ProcessID-14640-,2026-03-04 10:49:53.128 [1] [GlobalScript::Init]  ====================================================V4.4.0 GlobalScript Start Print Log====================================================

2026-03-04 10:49:58.193 INFO  [9] [VM.GlobalScript.LogHelper+<>c::<.cctor>b__8_0@0] ProcessID-14640-,2026-03-04 10:49:58.162 [3] [GlobalManager::objLoadDefaultScriptTime_Elapsed] Load default globalScript begin

2026-03-04 10:49:58.193 INFO  [9] [VM.GlobalScript.LogHelper+<>c::<.cctor>b__8_0@0] ProcessID-14640-,2026-03-04 10:49:58.170 [3] [UserGlobalScriptManger::compileGlobalScript] Compile begin

2026-03-04 10:49:59.198 INFO  [9] [VM.GlobalScript.LogHelper+<>c::<.cctor>b__8_0@0] ProcessID-14640-,2026-03-04 10:49:58.412 [3] [UserGlobalScriptSupport::CompileCode] 2026-03-04 10:49:58:412 : Compile complete -- 0 Errors, 0 Warnings 


2026-03-04 10:49:59.198 INFO  [9] [VM.GlobalScript.LogHelper+<>c::<.cctor>b__8_0@0] ProcessID-14640-,2026-03-04 10:49:58.519 [3] [UserGlobalScriptManger::updateBackFile] Update BackFile end

2026-03-04 10:49:59.198 INFO  [9] [VM.GlobalScript.LogHelper+<>c::<.cctor>b__8_0@0] ProcessID-14640-,2026-03-04 10:49:58.519 [3] [UserGlobalScriptManger::compileGlobalScript] Compile end

2026-03-04 10:49:59.198 INFO  [9] [VM.GlobalScript.LogHelper+<>c::<.cctor>b__8_0@0] ProcessID-14640-,2026-03-04 10:49:58.519 [3] [GlobalManager::objLoadDefaultScriptTime_Elapsed] Load default globalScript end

2026-03-04 10:50:00.201 INFO  [9] [VM.GlobalScript.LogHelper+<>c::<.cctor>b__8_0@0] ProcessID-14640-,2026-03-04 10:50:00.068 [25] [GlobalManager::HandleCmd] Receive:CloseScript

2026-03-04 10:50:00.201 INFO  [9] [VM.GlobalScript.LogHelper+<>c::<.cctor>b__8_0@0] ProcessID-14640-,2026-03-04 10:50:00.071 [25] [GlobalManager::HandleCmd] Receive end:CloseScript

2026-03-04 10:50:01.204 INFO  [9] [VM.GlobalScript.LogHelper+<>c::<.cctor>b__8_0@0] ProcessID-14640-,2026-03-04 10:50:00.575 [25] [GlobalManager::HandleCmd] Receive:LoadSolution

2026-03-04 10:50:01.204 INFO  [9] [VM.GlobalScript.LogHelper+<>c::<.cctor>b__8_0@0] ProcessID-14640-,2026-03-04 10:50:00.630 [25] [UserGlobalScriptManger::readScriptDataFromMapFile] Load IsDefaultContent:[True]

2026-03-04 10:50:01.204 INFO  [9] [VM.GlobalScript.LogHelper+<>c::<.cctor>b__8_0@0] ProcessID-14640-,2026-03-04 10:50:00.630 [25] [GlobalManager::HandleCmd] Receive end:LoadSolution

2026-03-04 10:50:01.204 INFO  [9] [VM.GlobalScript.LogHelper+<>c::<.cctor>b__8_0@0] ProcessID-14640-,2026-03-04 10:50:00.635 [6] [UserGlobalScriptManger::compileGlobalScript] Compile begin

2026-03-04 10:50:01.204 INFO  [9] [VM.GlobalScript.LogHelper+<>c::<.cctor>b__8_0@0] ProcessID-14640-,2026-03-04 10:50:00.635 [25] [GlobalManager::HandleCmd] Receive:GetMsgToUI

2026-03-04 10:50:01.206 INFO  [9] [VM.GlobalScript.LogHelper+<>c::<.cctor>b__8_0@0] ProcessID-14640-,2026-03-04 10:50:00.637 [6] [UserGlobalScriptSupport::CompileCode] 2026-03-04 10:50:00:637 : Compile complete -- 0 Errors, 0 Warnings 


2026-03-04 10:50:01.206 INFO  [9] [VM.GlobalScript.LogHelper+<>c::<.cctor>b__8_0@0] ProcessID-14640-,2026-03-04 10:50:00.637 [6] [UserGlobalScriptManger::updateBackFile] Update BackFile end

2026-03-04 10:50:01.206 INFO  [9] [VM.GlobalScript.LogHelper+<>c::<.cctor>b__8_0@0] ProcessID-14640-,2026-03-04 10:50:00.638 [6] [UserGlobalScriptManger::compileGlobalScript] Compile end

2026-03-04 10:50:01.206 INFO  [9] [VM.GlobalScript.LogHelper+<>c::<.cctor>b__8_0@0] ProcessID-14640-,2026-03-04 10:50:00.647 [25] [UserGlobalScriptManger::GetMsgToUI] GetRunState:0

2026-03-04 10:50:01.206 INFO  [9] [VM.GlobalScript.LogHelper+<>c::<.cctor>b__8_0@0] ProcessID-14640-,2026-03-04 10:50:00.647 [25] [GlobalManager::HandleCmd] Receive end:GetMsgToUI

2026-03-04 10:50:01.206 INFO  [9] [VM.GlobalScript.LogHelper+<>c::<.cctor>b__8_0@0] ProcessID-14640-,2026-03-04 10:50:00.647 [25] [GlobalManager::HandleCmd] Receive:GetMsgToUI

2026-03-04 10:50:01.206 INFO  [9] [VM.GlobalScript.LogHelper+<>c::<.cctor>b__8_0@0] ProcessID-14640-,2026-03-04 10:50:00.649 [25] [UserGlobalScriptManger::GetMsgToUI] GetRunState:0

2026-03-04 10:50:01.206 INFO  [9] [VM.GlobalScript.LogHelper+<>c::<.cctor>b__8_0@0] ProcessID-14640-,2026-03-04 10:50:00.649 [25] [GlobalManager::HandleCmd] Receive end:GetMsgToUI

2026-03-04 10:50:01.206 INFO  [9] [VM.GlobalScript.LogHelper+<>c::<.cctor>b__8_0@0] ProcessID-14640-,2026-03-04 10:50:01.007 [1] [GlobalManager::HandleCmd] Receive:LoadSolutionEnd

2026-03-04 10:50:01.207 INFO  [9] [VM.GlobalScript.LogHelper+<>c::<.cctor>b__8_0@0] ProcessID-14640-,2026-03-04 10:50:01.007 [1] [GlobalManager::HandleCmd] Receive end:LoadSolutionEnd

2026-03-04 10:50:01.207 INFO  [9] [VM.GlobalScript.LogHelper+<>c::<.cctor>b__8_0@0] ProcessID-14640-,2026-03-04 10:50:01.007 [6] [UserGlobalScriptManger::loadInitAction] ExecuteLoadInit start

2026-03-04 10:50:02.208 INFO  [9] [VM.GlobalScript.LogHelper+<>c::<.cctor>b__8_0@0] ProcessID-14640-,2026-03-04 10:50:02.049 [1] [GlobalManager::HandleCmd] Receive:ExcuteOnce

2026-03-04 10:50:02.208 INFO  [9] [VM.GlobalScript.LogHelper+<>c::<.cctor>b__8_0@0] ProcessID-14640-,2026-03-04 10:50:02.049 [1] [GlobalManager::HandleCmd] Receive end:ExcuteOnce

2026-03-04 10:50:02.209 INFO  [9] [VM.GlobalScript.LogHelper+<>c::<.cctor>b__8_0@0] ProcessID-14640-,2026-03-04 10:50:02.049 [3] [UserGlobalScriptManger::initSourceAndStartScript] InitSourceEndStartScript already init

2026-03-04 10:50:02.209 INFO  [9] [VM.GlobalScript.LogHelper+<>c::<.cctor>b__8_0@0] ProcessID-14640-,2026-03-04 10:50:02.050 [3] [UserGlobalScriptManger::<StartOnce>b__64_0] GlobalScript execute once start

2026-03-04 10:50:02.209 INFO  [9] [VM.GlobalScript.LogHelper+<>c::<.cctor>b__8_0@0] ProcessID-14640-,2026-03-04 10:50:02.057 [3] [UserGlobalScriptManger::<StartOnce>b__64_0] GlobalScript execute once end

2026-03-04 10:52:06.568 INFO  [9] [VM.GlobalScript.LogHelper+<>c::<.cctor>b__8_0@0] ProcessID-14640-,2026-03-04 10:51:57.009 [1] [GlobalManager::HandleCmd] Receive:ExcuteOnce

2026-03-04 10:52:06.570 INFO  [9] [VM.GlobalScript.LogHelper+<>c::<.cctor>b__8_0@0] ProcessID-14640-,2026-03-04 10:51:57.009 [1] [GlobalManager::HandleCmd] Receive end:ExcuteOnce

2026-03-04 10:52:06.570 INFO  [9] [VM.GlobalScript.LogHelper+<>c::<.cctor>b__8_0@0] ProcessID-14640-,2026-03-04 10:51:57.009 [14] [UserGlobalScriptManger::initSourceAndStartScript] InitSourceEndStartScript already init

2026-03-04 10:52:06.580 INFO  [9] [VM.GlobalScript.LogHelper+<>c::<.cctor>b__8_0@0] ProcessID-14640-,2026-03-04 10:51:57.011 [14] [UserGlobalScriptManger::<StartOnce>b__64_0] GlobalScript execute once start

2026-03-04 10:52:06.580 INFO  [9] [VM.GlobalScript.LogHelper+<>c::<.cctor>b__8_0@0] ProcessID-14640-,2026-03-04 10:51:57.012 [14] [UserGlobalScriptManger::<StartOnce>b__64_0] GlobalScript execute once end

